name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,,,
Alabama,AL,0.010570439,0.015210991,0.015527324,0.026455026,0.021932928,0.013766373,0.010301692,0.020073439,0.059797358,0.0870341,0.044647709,0.037351086,0.086607018,0.07900128,,,,,,,,,,,,,,,,,
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Arizona,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Arkansas,AR,0.120677966,0.124046772,0.149191176,0.1855588,0.139444502,0.112451861,0.112829933,0.127773383,0.18342795,0.206732741,0.190727925,0.197152154,0.26894466,0.234755494,,,,,,,,,,,,,,,,,
California,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Colorado,CO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Delaware,DE,0.128129602,0.094389439,0.08026208,0.169796557,0.127965492,0.066438356,0.087657784,0.091880342,0.108298755,0.160425532,0.138773819,0.130695867,0.180880975,0.13744232,,,,,,,,,,,,,,,,,
Florida,FL,0.000235361,0.000236742,0.000297339,0.000521822,0.000575153,0.000213347,0.000116518,0.000307829,0.001449704,0.002000318,0.001103785,0.00054615,0.001501982,0.001723464,,,,,,,,,,,,,,,,,
Georgia,GA,0.006514321,0.007699415,0.00788835,0.019074599,0.014610523,0.007366035,0.006362422,0.023556611,0.031817052,0.04483519,0.01742603,0.005739483,0.024882717,0.021100175,,,,,,,,,,,,,,,,,
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Idaho,ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Illinois,IL,0.288817974,0.278928465,0.280774429,0.34088326,0.283850735,0.254202088,0.2598339,0.248268952,0.294045143,0.329253928,0.352751521,0.292019511,0.370521297,0.38721278,,,,,,,,,,,,,,,,,
Indiana,IN,0.285173979,0.261252643,0.274863874,0.356715494,0.280572846,0.281286579,0.264077996,0.26344103,0.294352384,0.348841467,0.345040887,0.283105393,0.373472005,0.365262321,,,,,,,,,,,,,,,,,
