name,postal,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,,,,,,,,,,,
Alabama,AL,0.011663933,0.009649984,0.00907441,0.007865008,0.010046696,0.005880781,0.008388521,0.013953488,0.053374344,0.018933386,0.012950552,0.049053959,0.02551377,0.058706786,,,,,,,,,,,,,,,
Alaska,AK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Arizona,AZ,0.025987526,0.031047865,0.034727703,0.042388167,0.041841655,0.024092802,0.023534269,0.035432621,0.07902054,0.050371402,0.023672425,0.031609009,0.034686459,0.031856142,,,,,,,,,,,,,,,
Arkansas,AR,0.061318267,0.053598664,0.049558824,0.029147863,0.039952327,0.010115533,0.017354733,0.035371228,0.06482925,0.013875598,0.006664104,0.031843591,0.025950587,0.046352207,,,,,,,,,,,,,,,
California,CA,0.006773884,0.007597669,0.010949859,0.008029011,0.012117295,0.005363945,0.006483943,0.01030549,0.018107789,0.009721831,0.008471908,0.01530274,0.008298161,0.010231216,,,,,,,,,,,,,,,
Colorado,CO,0.131460551,0.114854842,0.115828481,0.13633828,0.15460441,0.134352941,0.100579884,0.247440401,0.194867279,0.159712007,0.188562791,0.206763036,0.155548217,0.131532033,,,,,,,,,,,,,,,
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Delaware,DE,0.03460972,0.037623762,0.062244062,0.027386541,0.042415528,0.041780822,0.04628331,0.080128205,0.104149378,0.029361702,0.034382767,0.080890145,0.062792877,0.081740277,,,,,,,,,,,,,,,
Florida,FL,0.000282433,0.000236742,0.000198226,0.000332068,0.000718942,0.000341355,0.000194197,0.000410439,0.000857988,0.000349262,0.000232376,0.00044685,0.000443208,0.001011099,,,,,,,,,,,,,,,
Georgia,GA,0.014889877,0.01806796,0.01723301,0.018035883,0.017401297,0.011251417,0.009740005,0.021182204,0.046035297,0.011816588,0.005717916,0.02288794,0.015049728,0.033200755,,,,,,,,,,,,,,,
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Idaho,ID,0.223874905,0.199724345,0.228512296,0.193399255,0.28473886,0.237602366,0.201603206,0.269783352,0.244058501,0.197772657,0.210246914,0.253208556,0.191164327,0.194208494,,,,,,,,,,,,,,,
Illinois,IL,0.025755085,0.018377731,0.020388977,0.024381664,0.031940125,0.01996511,0.031078219,0.032044515,0.034999872,0.016720464,0.007756053,0.026432342,0.014280178,0.035848128,,,,,,,,,,,,,,,
Indiana,IN,0.023798441,0.021095559,0.017279698,0.02480916,0.029952731,0.027075169,0.019709195,0.028701623,0.028497351,0.018777133,0.011738794,0.023132178,0.015269929,0.027863777,,,,,,,,,,,,,,,
Iowa,IA,0.000381198,0.000449805,0.000447984,0.00053108,0.000757271,0.000385584,0.000476817,0.000639619,0.000589598,0.000241074,0.000170683,0.000282867,0.000184643,0.000363055,,,,,,,,,,,,,,,
Kansas,KS,0.278286512,0.266587443,0.305530864,0.3383393,0.361562179,0.361967393,0.282239795,0.353493191,0.35646592,0.229369936,0.238519564,0.308792969,0.284343389,0.311281463,,,,,,,,,,,,,,,
Kentucky,KY,0.034180186,0.042537153,0.041246889,0.04091004,0.053004966,0.039908893,0.042034647,0.038427234,0.098178397,0.041656105,0.039556563,0.097112007,0.058668948,0.102989867,,,,,,,,,,,,,,,
Louisiana,LA,0.020896426,0.021656245,0.025689223,0.013912209,0.024694289,0.012039402,0.014201593,0.035804977,0.056666441,0.01715291,0.009610904,0.039189324,0.021575278,0.031724373,,,,,,,,,,,,,,,
Maine,ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
